Departments,description,message_clean,tokens,tokens_refined
immunogenetics,noonan syndrome 1 a noonan syndrome disease type 1 that has material basis in the ptpn11 gene on chromosome 12q24.   noonan syndrome  immunogenetics,noonan syndrome 1 a noonan syndrome disease type 1 that has material basis in the ptpn11 gene on chromosome 12q24   noonan syndrome  immunogenetics,"['noonan', 'syndrome', '1', 'a', 'noonan', 'syndrome', 'disease', 'type', '1', 'that', 'has', 'material', 'basis', 'in', 'the', 'ptpn11', 'gene', 'on', 'chromosome', '12q24', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '1', 'noonan', 'syndrome', 'disease', 'type', '1', 'material', 'basis', 'ptpn11', 'gene', 'chromosome', '12q24', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,noonan syndrome 2 noonan syndrome  immunogenetics,noonan syndrome 2 noonan syndrome  immunogenetics,"['noonan', 'syndrome', '2', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '2', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,noonan syndrome 3 a noonan syndrome that has material basis in heterozygous mutation in the kras gene. noonan syndrome  immunogenetics,noonan syndrome 3 a noonan syndrome that has material basis in heterozygous mutation in the kras gene noonan syndrome  immunogenetics,"['noonan', 'syndrome', '3', 'a', 'noonan', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'heterozygous', 'mutation', 'in', 'the', 'kras', 'gene', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '3', 'noonan', 'syndrome', 'material', 'basis', 'heterozygous', 'mutation', 'kras', 'gene', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,noonan syndrome 4 a noonan syndrome that has material basis in heterozygous mutation in the sos1 gene on chromosome 2p22.   noonan syndrome  immunogenetics,noonan syndrome 4 a noonan syndrome that has material basis in heterozygous mutation in the sos1 gene on chromosome 2p22   noonan syndrome  immunogenetics,"['noonan', 'syndrome', '4', 'a', 'noonan', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'heterozygous', 'mutation', 'in', 'the', 'sos1', 'gene', 'on', 'chromosome', '2p22', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '4', 'noonan', 'syndrome', 'material', 'basis', 'heterozygous', 'mutation', 'sos1', 'gene', 'chromosome', '2p22', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,noonan syndrome 5 a noonan syndrome that has material basis in mutation in the raf1 gene.   noonan syndrome  immunogenetics,noonan syndrome 5 a noonan syndrome that has material basis in mutation in the raf1 gene   noonan syndrome  immunogenetics,"['noonan', 'syndrome', '5', 'a', 'noonan', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'raf1', 'gene', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '5', 'noonan', 'syndrome', 'material', 'basis', 'mutation', 'raf1', 'gene', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,noonan syndrome 6 a noonan syndrome that has material basis in  heterozygous mutation in the nras gene on chromosome 1p13.   noonan syndrome  immunogenetics,noonan syndrome 6 a noonan syndrome that has material basis in  heterozygous mutation in the nras gene on chromosome 1p13   noonan syndrome  immunogenetics,"['noonan', 'syndrome', '6', 'a', 'noonan', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'heterozygous', 'mutation', 'in', 'the', 'nras', 'gene', 'on', 'chromosome', '1p13', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '6', 'noonan', 'syndrome', 'material', 'basis', 'heterozygous', 'mutation', 'nras', 'gene', 'chromosome', '1p13', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,noonan syndrome 7 a noonan syndrome that has material basis in heterozygous mutation in the braf gene.   noonan syndrome  immunogenetics,noonan syndrome 7 a noonan syndrome that has material basis in heterozygous mutation in the braf gene   noonan syndrome  immunogenetics,"['noonan', 'syndrome', '7', 'a', 'noonan', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'heterozygous', 'mutation', 'in', 'the', 'braf', 'gene', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '7', 'noonan', 'syndrome', 'material', 'basis', 'heterozygous', 'mutation', 'braf', 'gene', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,noonan syndrome 8 a noonan syndrome that has material basis in caused by heterozygous mutation in the rit1 gene on chromosome 1q22.   noonan syndrome  immunogenetics,noonan syndrome 8 a noonan syndrome that has material basis in caused by heterozygous mutation in the rit1 gene on chromosome 1q22   noonan syndrome  immunogenetics,"['noonan', 'syndrome', '8', 'a', 'noonan', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'caused', 'by', 'heterozygous', 'mutation', 'in', 'the', 'rit1', 'gene', 'on', 'chromosome', '1q22', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '8', 'noonan', 'syndrome', 'material', 'basis', 'caused', 'heterozygous', 'mutation', 'rit1', 'gene', 'chromosome', '1q22', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,noonan syndrome 9 a noonan syndrome that has material basis in heterozygous mutation in the sos2 gene on chromosome 14q21.   noonan syndrome  immunogenetics,noonan syndrome 9 a noonan syndrome that has material basis in heterozygous mutation in the sos2 gene on chromosome 14q21   noonan syndrome  immunogenetics,"['noonan', 'syndrome', '9', 'a', 'noonan', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'heterozygous', 'mutation', 'in', 'the', 'sos2', 'gene', 'on', 'chromosome', '14q21', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '9', 'noonan', 'syndrome', 'material', 'basis', 'heterozygous', 'mutation', 'sos2', 'gene', 'chromosome', '14q21', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,noonan syndrome 10 a noonan syndrome that has material basis in heterozygous mutation in the lztr1 gene on chromosome 22q11.   noonan syndrome  immunogenetics,noonan syndrome 10 a noonan syndrome that has material basis in heterozygous mutation in the lztr1 gene on chromosome 22q11   noonan syndrome  immunogenetics,"['noonan', 'syndrome', '10', 'a', 'noonan', 'syndrome', 'that', 'has', 'material', 'basis', 'in', 'heterozygous', 'mutation', 'in', 'the', 'lztr1', 'gene', 'on', 'chromosome', '22q11', 'noonan', 'syndrome', 'immunogenetics']","['noonan', 'syndrome', '10', 'noonan', 'syndrome', 'material', 'basis', 'heterozygous', 'mutation', 'lztr1', 'gene', 'chromosome', '22q11', 'noonan', 'syndrome', 'immunogenetics']"
immunogenetics,"yunis varon syndrome a syndrome characterized by skeletal defects, including cleidocranial dysplasia and digital anomalies, and severe neurologic involvement with neuronal loss. enlarged cytoplasmic vacuoles are found in neurons, muscle, and cartilage. it is usually lethal in infancy and has material basis in homozygous or compound heterozygous mutation in the fig4 gene on chromosome 6q21. cleidocranial dysplasia with micrognathia, absent thumbs, and distal aphalangia cleidocranial dysplasia micrognathia absent thumbs syndrome     syndrome  immunogenetics",yunis varon syndrome a syndrome characterized by skeletal defects including cleidocranial dysplasia and digital anomalies and severe neurologic involvement with neuronal loss enlarged cytoplasmic vacuoles are found in neurons muscle and cartilage it is usually lethal in infancy and has material basis in homozygous or compound heterozygous mutation in the fig4 gene on chromosome 6q21 cleidocranial dysplasia with micrognathia absent thumbs and distal aphalangia cleidocranial dysplasia micrognathia absent thumbs syndrome     syndrome  immunogenetics,"['yunis', 'varon', 'syndrome', 'a', 'syndrome', 'characterized', 'by', 'skeletal', 'defects', 'including', 'cleidocranial', 'dysplasia', 'and', 'digital', 'anomalies', 'and', 'severe', 'neurologic', 'involvement', 'with', 'neuronal', 'loss', 'enlarged', 'cytoplasmic', 'vacuoles', 'are', 'found', 'in', 'neurons', 'muscle', 'and', 'cartilage', 'it', 'is', 'usually', 'lethal', 'in', 'infancy', 'and', 'has', 'material', 'basis', 'in', 'homozygous', 'or', 'compound', 'heterozygous', 'mutation', 'in', 'the', 'fig4', 'gene', 'on', 'chromosome', '6q21', 'cleidocranial', 'dysplasia', 'with', 'micrognathia', 'absent', 'thumbs', 'and', 'distal', 'aphalangia', 'cleidocranial', 'dysplasia', 'micrognathia', 'absent', 'thumbs', 'syndrome', 'syndrome', 'immunogenetics']","['yunis', 'varon', 'syndrome', 'syndrome', 'characterized', 'skeletal', 'defects', 'including', 'cleidocranial', 'dysplasia', 'digital', 'anomalies', 'severe', 'neurologic', 'involvement', 'neuronal', 'loss', 'enlarged', 'cytoplasmic', 'vacuoles', 'found', 'neurons', 'muscle', 'cartilage', 'usually', 'lethal', 'infancy', 'material', 'basis', 'homozygous', 'compound', 'heterozygous', 'mutation', 'fig4', 'gene', 'chromosome', '6q21', 'cleidocranial', 'dysplasia', 'micrognathia', 'absent', 'thumbs', 'distal', 'aphalangia', 'cleidocranial', 'dysplasia', 'micrognathia', 'absent', 'thumbs', 'syndrome', 'syndrome', 'immunogenetics']"
immunogenetics,"xfe progeroid syndrome a syndrome characterized by aged bird like facies, lack of subcutaneous fat, dwarfism, cachexia and microcephaly. additional features include sun sensitivity from birth, learning disabilities, hearing loss, and visual impairment. it has material basis in homozygous mutation in the ercc4 gene on chromosome 16p13. xfeps xpf ercc1 progeroid syndrome   syndrome  immunogenetics",xfe progeroid syndrome a syndrome characterized by aged bird like facies lack of subcutaneous fat dwarfism cachexia and microcephaly additional features include sun sensitivity from birth learning disabilities hearing loss and visual impairment it has material basis in homozygous mutation in the ercc4 gene on chromosome 16p13 xfeps xpf ercc1 progeroid syndrome   syndrome  immunogenetics,"['xfe', 'progeroid', 'syndrome', 'a', 'syndrome', 'characterized', 'by', 'aged', 'bird', 'like', 'facies', 'lack', 'of', 'subcutaneous', 'fat', 'dwarfism', 'cachexia', 'and', 'microcephaly', 'additional', 'features', 'include', 'sun', 'sensitivity', 'from', 'birth', 'learning', 'disabilities', 'hearing', 'loss', 'and', 'visual', 'impairment', 'it', 'has', 'material', 'basis', 'in', 'homozygous', 'mutation', 'in', 'the', 'ercc4', 'gene', 'on', 'chromosome', '16p13', 'xfeps', 'xpf', 'ercc1', 'progeroid', 'syndrome', 'syndrome', 'immunogenetics']","['xfe', 'progeroid', 'syndrome', 'syndrome', 'characterized', 'aged', 'bird', 'like', 'facies', 'lack', 'subcutaneous', 'fat', 'dwarfism', 'cachexia', 'microcephaly', 'additional', 'features', 'include', 'sun', 'sensitivity', 'birth', 'learning', 'disabilities', 'hearing', 'loss', 'visual', 'impairment', 'material', 'basis', 'homozygous', 'mutation', 'ercc4', 'gene', 'chromosome', '16p13', 'xfeps', 'xpf', 'ercc1', 'progeroid', 'syndrome', 'syndrome', 'immunogenetics']"
immunogenetics,"whim syndrome an immunodeficiency disease characterized by neutropenia, hypogammaglobulinemia, and extensive human papillomavirus (hpv) infection. it has material basis in heterozygous mutation in the cxcr4 gene on chromosome 2q22. warts, hypogammaglobulinemia, infections, and myelokathexis warts hypogammaglobulinemia infections myelokathexis syndrome whims primary immunodeficiency disease  immunogenetics",whim syndrome an immunodeficiency disease characterized by neutropenia hypogammaglobulinemia and extensive human papillomavirus hpv infection it has material basis in heterozygous mutation in the cxcr4 gene on chromosome 2q22 warts hypogammaglobulinemia infections and myelokathexis warts hypogammaglobulinemia infections myelokathexis syndrome whims primary immunodeficiency disease  immunogenetics,"['whim', 'syndrome', 'an', 'immunodeficiency', 'disease', 'characterized', 'by', 'neutropenia', 'hypogammaglobulinemia', 'and', 'extensive', 'human', 'papillomavirus', 'hpv', 'infection', 'it', 'has', 'material', 'basis', 'in', 'heterozygous', 'mutation', 'in', 'the', 'cxcr4', 'gene', 'on', 'chromosome', '2q22', 'warts', 'hypogammaglobulinemia', 'infections', 'and', 'myelokathexis', 'warts', 'hypogammaglobulinemia', 'infections', 'myelokathexis', 'syndrome', 'whims', 'primary', 'immunodeficiency', 'disease', 'immunogenetics']","['whim', 'syndrome', 'immunodeficiency', 'disease', 'characterized', 'neutropenia', 'hypogammaglobulinemia', 'extensive', 'human', 'papillomavirus', 'hpv', 'infection', 'material', 'basis', 'heterozygous', 'mutation', 'cxcr4', 'gene', 'chromosome', '2q22', 'warts', 'hypogammaglobulinemia', 'infections', 'myelokathexis', 'warts', 'hypogammaglobulinemia', 'infections', 'myelokathexis', 'syndrome', 'whims', 'primary', 'immunodeficiency', 'disease', 'immunogenetics']"
immunogenetics,b cell adult acute lymphocytic leukemia adult b acute lymphoblastic leukemia adult b cell acute lymphoblastic leukemia adult b cell lymphocytic leukemia adult b lymphoblastic leukemia adult acute lymphocytic leukemia  immunogenetics,b cell adult acute lymphocytic leukemia adult b acute lymphoblastic leukemia adult b cell acute lymphoblastic leukemia adult b cell lymphocytic leukemia adult b lymphoblastic leukemia adult acute lymphocytic leukemia  immunogenetics,"['b', 'cell', 'adult', 'acute', 'lymphocytic', 'leukemia', 'adult', 'b', 'acute', 'lymphoblastic', 'leukemia', 'adult', 'b', 'cell', 'acute', 'lymphoblastic', 'leukemia', 'adult', 'b', 'cell', 'lymphocytic', 'leukemia', 'adult', 'b', 'lymphoblastic', 'leukemia', 'adult', 'acute', 'lymphocytic', 'leukemia', 'immunogenetics']","['b', 'cell', 'adult', 'acute', 'lymphocytic', 'leukemia', 'adult', 'b', 'acute', 'lymphoblastic', 'leukemia', 'adult', 'b', 'cell', 'acute', 'lymphoblastic', 'leukemia', 'adult', 'b', 'cell', 'lymphocytic', 'leukemia', 'adult', 'b', 'lymphoblastic', 'leukemia', 'adult', 'acute', 'lymphocytic', 'leukemia', 'immunogenetics']"
oncology,atypical chronic myeloid leukemia a myelodysplastic myeloproliferative neoplasm characterized by the principal involvement of the neutrophil series with leukocytosis and multilineage dysplasia. the neoplastic cells do not have a philadelphia chromosome or the bcr/abl fusion gene. acml atypical chronic myeloid leukemia bcr abl1 negative atypical cml sub acute granulocytic leukemia subacute myelogenous leukemia sub acute myeloid leukemia      myelodysplastic/myeloproliferative neoplasm  oncology,atypical chronic myeloid leukemia a myelodysplastic myeloproliferative neoplasm characterized by the principal involvement of the neutrophil series with leukocytosis and multilineage dysplasia the neoplastic cells do not have a philadelphia chromosome or the bcrabl fusion gene acml atypical chronic myeloid leukemia bcr abl1 negative atypical cml sub acute granulocytic leukemia subacute myelogenous leukemia sub acute myeloid leukemia      myelodysplasticmyeloproliferative neoplasm  oncology,"['atypical', 'chronic', 'myeloid', 'leukemia', 'a', 'myelodysplastic', 'myeloproliferative', 'neoplasm', 'characterized', 'by', 'the', 'principal', 'involvement', 'of', 'the', 'neutrophil', 'series', 'with', 'leukocytosis', 'and', 'multilineage', 'dysplasia', 'the', 'neoplastic', 'cells', 'do', 'not', 'have', 'a', 'philadelphia', 'chromosome', 'or', 'the', 'bcrabl', 'fusion', 'gene', 'acml', 'atypical', 'chronic', 'myeloid', 'leukemia', 'bcr', 'abl1', 'negative', 'atypical', 'cml', 'sub', 'acute', 'granulocytic', 'leukemia', 'subacute', 'myelogenous', 'leukemia', 'sub', 'acute', 'myeloid', 'leukemia', 'myelodysplasticmyeloproliferative', 'neoplasm', 'oncology']","['atypical', 'chronic', 'myeloid', 'leukemia', 'myelodysplastic', 'myeloproliferative', 'neoplasm', 'characterized', 'principal', 'involvement', 'neutrophil', 'series', 'leukocytosis', 'multilineage', 'dysplasia', 'neoplastic', 'cells', 'philadelphia', 'chromosome', 'bcrabl', 'fusion', 'gene', 'acml', 'atypical', 'chronic', 'myeloid', 'leukemia', 'bcr', 'abl1', 'negative', 'atypical', 'cml', 'sub', 'acute', 'granulocytic', 'leukemia', 'subacute', 'myelogenous', 'leukemia', 'sub', 'acute', 'myeloid', 'leukemia', 'myelodysplasticmyeloproliferative', 'neoplasm', 'oncology']"
immunogenetics,"nance horan syndrome an x linked disease that has material basis in mutation in the nhs gene on chromosome xp22. it is characterized by congenital cataract leading to profound vision loss, characteristic dysmorphic features and dental anomalies. x linked disease  immunogenetics",nance horan syndrome an x linked disease that has material basis in mutation in the nhs gene on chromosome xp22 it is characterized by congenital cataract leading to profound vision loss characteristic dysmorphic features and dental anomalies x linked disease  immunogenetics,"['nance', 'horan', 'syndrome', 'an', 'x', 'linked', 'disease', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'nhs', 'gene', 'on', 'chromosome', 'xp22', 'it', 'is', 'characterized', 'by', 'congenital', 'cataract', 'leading', 'to', 'profound', 'vision', 'loss', 'characteristic', 'dysmorphic', 'features', 'and', 'dental', 'anomalies', 'x', 'linked', 'disease', 'immunogenetics']","['nance', 'horan', 'syndrome', 'x', 'linked', 'disease', 'material', 'basis', 'mutation', 'nhs', 'gene', 'chromosome', 'xp22', 'characterized', 'congenital', 'cataract', 'leading', 'profound', 'vision', 'loss', 'characteristic', 'dysmorphic', 'features', 'dental', 'anomalies', 'x', 'linked', 'disease', 'immunogenetics']"
